SampleID,Group,species,site,month,age,group,bird_id,type,Recap,recap_delete,Recap_num,replicate,remove_replicate,weight,wing,hb,SourceSink,Env,Date,Plate,migration
9435,9435,Red-necked stint,Flinders,March,Unknown,,3693203,bird,No,No,,No,No,31,107,41,source,gut,11/03/2016,1,
9436,9436,Red-necked stint,Flinders,March,Unknown,,3692745,bird,Yes,No,2,No,No,31,104,39.8,source,gut,11/03/2016,1,
9437,9437,Red-necked stint,Flinders,March,Second year,,3690505,bird,Yes,Yes,3,No,No,32,107,40.3,source,gut,11/03/2016,1,
9439,9439,Red-necked stint,Flinders,March,Adult,,3657736,bird,Yes,No,2,No,No,29,109,39.3,source,gut,11/03/2016,1,
9440,9440,Ruddy turnstone,Flinders,March,,,5229894,bird,No,No,,No,No,,,,,,11/03/2016,2,
9442,9442,Red-necked stint,Flinders,March,Adult,,3686258,bird,Yes,No,2,No,No,38,109,42.2,source,gut,11/03/2016,1,
9443,9443,Red-necked stint,Flinders,March,Adult,,3686297,bird,Yes,Yes,3,No,No,36,101.3,38.9,source,gut,11/03/2016,1,
9444,9444,Ruddy turnstone,Flinders,March,,,5223770,bird,No,No,,No,No,,,,,,11/03/2016,2,
9446_2,9446,Red-necked stint,Flinders,March,,,3693208,bird,No,No,,Yes,Yes,,,,,,11/03/2016,2,
9446,9446,Red-necked stint,Flinders,March,Unknown,,3693208,bird,No,No,,Yes,No,29,105,38.9,source,gut,11/03/2016,1,
9447,9447,Ruddy turnstone,Flinders,March,,,5278397,bird,No,No,,No,No,,,,,,11/03/2016,2,
9448,9448,Red-necked stint,Flinders,March,Second year,,3686383,bird,Yes,No,2,No,No,29,106,37.4,source,gut,11/03/2016,1,
9449,9449,Red-necked stint,Flinders,March,Unknown,,3693207,bird,No,No,,No,No,34,107,41.9,source,gut,11/03/2016,1,
9450,9450,Red-necked stint,Flinders,March,Second year,,3686376,bird,Yes,No,2,No,No,31,109,40.3,source,gut,11/03/2016,1,
9451,9451,Red-necked stint,Flinders,March,Adult,,3686362,bird,Yes,No,2,No,No,32,109,40.8,source,gut,11/03/2016,1,
9452,9452,Red-necked stint,Flinders,March,Second year,,3686372,bird,Yes,No,2,No,No,32,111,40.6,source,gut,11/03/2016,1,
9453,9453,Red-necked stint,Flinders,March,Juvenile,,3693206,bird,No,No,,No,No,30,105,38.8,source,gut,11/03/2016,1,
9454,9454,Ruddy turnstone,Flinders,March,,,4277076,bird,No,No,,No,No,,,,,,11/03/2016,2,
9455,9455,Ruddy turnstone,Flinders,March,,,4277077,bird,No,No,,No,No,,,,,,11/03/2016,2,
9456,9456,Ruddy turnstone,Flinders,March,,,5251975,bird,No,No,,No,No,,,,,,11/03/2016,2,
9457,9457,Ruddy turnstone,Flinders,March,,,5229893,bird,No,No,,No,No,,,,,,11/03/2016,2,
9703,9703,Ruddy turnstone,Flinders,December,,,5278559,bird,No,No,,No,No,,,,,,16/12/2016,2,
Env_Broome_A,Env_Broome_A,env,Broome,,,,,env,No,No,,No,No,,,,,,27/08/2015,2,
Env_Broome_E,Env_Broome_E,env,Broome,,,,,env,No,No,,No,No,,,,,,27/08/2015,2,
Env_Flind_Jan,Env_Flind_Jan,env,Flinders,,,,,env,No,No,,No,No,,,,,,23/01/2016,2,
F1,Flind_env,env,Flinders,March,na,,na,env,No,No,,Yes,No,,,,sink,env,11/03/2016,1,
F2,Flind_env,env,Flinders,March,na,,na,env,No,No,,Yes,No,,,,sink,env,11/03/2016,1,
Neg,Neg1,neg,na,na,na,,na,neg,na,No,,No,No,,,,sink,neg,1/10/2016,1,
Neg2,Neg2,neg,,,,,,neg,No,No,,No,No,,,,,,1/04/2017,2,
WTP1,WTP_env,env,WTP,December,na,,na,env,No,No,,No,No,,,,sink,env,29/12/2015,1,
WTP2,WTP_env,env,WTP,December,na,,na,env,No,No,,No,No,,,,sink,env,29/12/2015,1,
